sensor_id,aprt_power,sensor_timestamp
17,764.6,2025-12-08 00:00:00+00
17,775.8,2025-12-08 00:00:01+00
17,760.3,2025-12-08 00:00:02+00
17,760.3,2025-12-08 00:00:03+00
17,758.7,2025-12-08 00:00:04+00
17,760.2,2025-12-08 00:00:05+00
17,759.9,2025-12-08 00:00:06+00
17,759.4,2025-12-08 00:00:07+00
17,758.6,2025-12-08 00:00:08+00
17,765.2,2025-12-08 00:00:09+00
17,767.3,2025-12-08 00:00:10+00
17,759.8,2025-12-08 00:00:11+00
17,759.7,2025-12-08 00:00:12+00
17,758.1,2025-12-08 00:00:13+00
17,760.3,2025-12-08 00:00:14+00
17,758.7,2025-12-08 00:00:15+00
17,759.5,2025-12-08 00:00:16+00
17,759.6,2025-12-08 00:00:17+00
17,761.1,2025-12-08 00:00:18+00
17,773.9,2025-12-08 00:00:19+00
17,762.9,2025-12-08 00:00:20+00
17,766.4,2025-12-08 00:00:21+00
17,760,2025-12-08 00:00:22+00
17,760.6,2025-12-08 00:00:23+00
17,760.7,2025-12-08 00:00:24+00
17,755.8,2025-12-08 00:00:25+00
17,758.2,2025-12-08 00:00:26+00
17,778.7,2025-12-08 00:00:27+00
17,760.1,2025-12-08 00:00:28+00
17,759.1,2025-12-08 00:00:29+00
17,756.4,2025-12-08 00:00:30+00
17,755.4,2025-12-08 00:00:31+00
17,760.3,2025-12-08 00:00:32+00
17,892.1,2025-12-08 00:00:33+00
17,862.3,2025-12-08 00:00:34+00
17,868.6,2025-12-08 00:00:35+00
17,861.7,2025-12-08 00:00:36+00
17,769.4,2025-12-08 00:00:37+00
17,857.7,2025-12-08 00:00:38+00
17,915.3,2025-12-08 00:00:39+00
17,873.5,2025-12-08 00:00:40+00
17,875.8,2025-12-08 00:00:41+00
17,874.5,2025-12-08 00:00:42+00
17,864.3,2025-12-08 00:00:43+00
17,862.1,2025-12-08 00:00:44+00
17,859.5,2025-12-08 00:00:45+00
17,864,2025-12-08 00:00:46+00
17,860.6,2025-12-08 00:00:47+00
17,864.2,2025-12-08 00:00:48+00
17,860.9,2025-12-08 00:00:49+00
17,862.5,2025-12-08 00:00:50+00
17,866.1,2025-12-08 00:00:51+00
17,865.3,2025-12-08 00:00:52+00
17,861.4,2025-12-08 00:00:53+00
17,861.5,2025-12-08 00:00:54+00
17,864.2,2025-12-08 00:00:55+00
