active_devices,container,n_samples,cpu_mean_cores,cpu_p95_cores,cpu_max_cores,mem_mean_bytes,mem_max_bytes
0,pulsar,4,0.2636,0.7345,0.852,3272228209,3940632494
0,jobmanager,4,0.0268,0.0282,0.0283,458227712,463470592
0,taskmanager,4,0.0281,0.0291,0.0291,837812224,837812224
0,mosquittoo,4,0.0004,0.0004,0.0005,17511219,17511219
0,postgres,4,0.0004,0.0007,0.0007,77384909,77384909
0,rustfs_container,4,0.0012,0.0013,0.0013,196608000,198180864
0,_TOTAL_(containers),4,0.3205,0.7907,0.908,4861366108,5540507812
1,pulsar,13,0.7248,2.122,2.14,3132022305,3919157658
1,jobmanager,13,0.0824,0.218,0.227,695770506,724566016
1,taskmanager,13,0.1763,0.3632,0.371,1172562853,1234803098
1,mosquittoo,13,0.0006,0.0007,0.0007,17898386,18245222
1,postgres,13,0.001,0.0018,0.0018,83748959,85458944
1,rustfs_container,13,0.0009,0.0011,0.0011,199955377,202375168
1,_TOTAL_(containers),13,0.9863,2.65,2.68,5305936521,6174015488
2,pulsar,13,0.7237,2.16,2.16,3107243648,3360811909
2,jobmanager,13,0.0682,0.1532,0.158,1004374489,1019215872
2,taskmanager,13,0.1932,0.3398,0.341,1380171221,1395864371
2,mosquittoo,13,0.0008,0.0009,0.001,18011309,18559795
2,postgres,13,0.0013,0.0017,0.0017,86176815,88919245
2,rustfs_container,13,0.001,0.0012,0.0012,207214750,209715200
2,_TOTAL_(containers),13,0.9886,2.618,2.63,5800683715,6045166469
3,pulsar,13,0.7209,2.198,2.24,3160104784,3897682821
3,jobmanager,13,0.0457,0.0872,0.0879,1119995318,1127428915
3,taskmanager,13,0.2154,0.3562,0.37,1621350154,1707249500
3,mosquittoo,13,0.0011,0.0012,0.0012,17987111,18245222
3,postgres,13,0.0021,0.0025,0.0026,88064252,89128960
3,rustfs_container,13,0.0011,0.0013,0.0013,209795860,210763776
3,_TOTAL_(containers),13,0.9855,2.622,2.67,6212835385,7000796692
4,pulsar,12,0.5883,2.209,2.22,3168433166,4005057004
4,jobmanager,12,0.0538,0.0976,0.0997,1351125129,1363652116
4,taskmanager,12,0.2218,0.3515,0.362,1837888089,1857573356
4,mosquittoo,12,0.0012,0.0013,0.0013,18140365,18769510
4,postgres,12,0.0027,0.0037,0.0038,90544538,92589261
4,rustfs_container,12,0.0013,0.0017,0.0018,210152107,211812352
4,_TOTAL_(containers),12,0.8686,2.6335,2.65,6675989791,7516192768
5,pulsar,13,0.7381,2.232,2.25,3202228501,4348654387
5,jobmanager,13,0.0549,0.1006,0.102,1472678209,1492501135
5,taskmanager,13,0.2362,0.3966,0.411,2067365989,2115271393
5,mosquittoo,13,0.0014,0.0015,0.0015,18229090,18559795
5,postgres,13,0.0031,0.0037,0.0037,93565243,96259277
5,rustfs_container,13,0.0014,0.0017,0.0018,207214750,208666624
5,_TOTAL_(containers),13,1.0355,2.698,2.71,7060265470,8257074627
6,pulsar,13,0.7473,2.22,2.25,3168364336,3865470566
6,jobmanager,13,0.0603,0.1184,0.119,1660996006,1675037245
6,taskmanager,13,0.2656,0.4304,0.44,2274680756,2383706849
6,mosquittoo,13,0.0015,0.0016,0.0016,18245222,18559795
6,postgres,13,0.0037,0.0048,0.0048,96952950,98461286
6,rustfs_container,13,0.0015,0.002,0.0021,210037839,214958080
6,_TOTAL_(containers),13,1.0795,2.682,2.73,7426989601,8128225608
7,pulsar,13,0.7263,2.254,2.26,3187361307,4015794422
7,jobmanager,13,0.058,0.0813,0.0825,1812145817,1868310774
7,taskmanager,13,0.2836,0.4264,0.427,2433264164,2458868777
7,mosquittoo,13,0.0017,0.0018,0.0018,18204893,18664653
7,postgres,13,0.0041,0.0049,0.0052,100477779,101816730
7,rustfs_container,13,0.0778,0.1994,0.212,204956278,213909504
7,_TOTAL_(containers),13,1.1508,2.764,2.77,7756545746,8632884265
8,pulsar,12,0.642,2.2925,2.32,3172012305,3886945403
8,jobmanager,12,0.059,0.0901,0.0934,2172537624,2233382994
8,taskmanager,12,0.2832,0.4284,0.43,2571611668,2598455214
8,mosquittoo,12,0.0017,0.0018,0.0019,18350080,19188941
8,postgres,12,0.0045,0.005,0.0051,104210978,105906176
8,rustfs_container,12,0.1975,0.2135,0.214,217055232,228589568
8,_TOTAL_(containers),12,1.1878,2.9725,3.0,8257969411,9062380995
9,pulsar,13,0.7262,2.296,2.32,3184057486,3736621548
9,jobmanager,13,0.0499,0.0924,0.0928,2344060997,2362232013
9,taskmanager,13,0.3288,0.476,0.485,2718218725,2748779069
9,mosquittoo,13,0.002,0.0021,0.0021,18317816,18664653
9,postgres,13,0.0053,0.0077,0.0078,107358050,109051904
9,rustfs_container,13,0.1897,0.2072,0.209,239962585,253755392
9,_TOTAL_(containers),13,1.3011,2.892,3.03,8608931563,9201967432
10,pulsar,13,0.6822,2.17,2.17,2958571703,3425236419
10,jobmanager,13,0.0542,0.0958,0.0966,2451435180,2480343613
10,taskmanager,13,0.3652,0.5224,0.529,2842112013,3006477107
10,mosquittoo,13,0.0021,0.0022,0.0022,18350080,19188941
10,postgres,13,0.0063,0.0067,0.0068,108745397,111149056
10,rustfs_container,13,0.1809,0.2088,0.21,254561989,264241152
10,_TOTAL_(containers),13,1.2907,2.886,2.91,8632058310,9019431322
11,pulsar,13,0.6866,2.268,2.28,2687658381,3425236419
11,jobmanager,13,0.0507,0.0923,0.0924,2265595249,2534030705
11,taskmanager,13,0.3997,0.5488,0.577,2510078002,2888365507
11,mosquittoo,13,0.0022,0.0024,0.0024,18309750,18664653
11,postgres,13,0.0066,0.0079,0.0085,104567225,105906176
11,rustfs_container,13,0.204,0.2892,0.291,231251338,254803968
11,_TOTAL_(containers),13,1.3515,2.914,2.98,7818492389,8257074627
12,pulsar,13,0.7606,2.274,2.28,2640578932,3360811909
12,jobmanager,13,0.0572,0.0922,0.0942,1893089431,1921997865
12,taskmanager,13,0.4307,0.5906,0.596,2274680756,2319282340
12,mosquittoo,13,0.0023,0.0025,0.0025,18245222,18979226
12,postgres,13,0.0075,0.0087,0.0089,104284916,106954752
12,rustfs_container,13,0.2421,0.3304,0.334,212296310,223346688
