====================================================================================================
A1 SCALING EXPERIMENT - ARCHITECTURE WITH APACHE FLINK - RESOURCE METRICS
Generated: 2026-05-16T06:59:56Z
Source: Grafana CSV exports (UTF-16 TSV) of CPU / memory per container + totals.
        Sampling interval: 15 s (per Grafana dashboard configuration).
Phase ('active_devices') = number of devices whose coordinator had subscribed at this sample's wall-clock.
Times in Athens local (+02:00); the Grafana CSV uses local timestamps.
====================================================================================================

Containers measured  : pulsar, jobmanager, taskmanager, mosquittoo, postgres, rustfs_container
Sample count         : 249
Time range           : 2026-05-15 18:58:15 -> 2026-05-15 20:00:15

====================================================================================================
1. PER-PHASE x PER-CONTAINER  (mean / p95 / max CPU in cores, mean / max memory in MiB)
====================================================================================================
  #dev container                 n    cpu_mean   cpu_p95   cpu_max    mem_mean_MB  mem_max_MB
     0 pulsar                    4      0.2636    0.7345    0.8520         3272.2      3940.6
     0 jobmanager                4      0.0268    0.0282    0.0283          458.2       463.5
     0 taskmanager               4      0.0281    0.0291    0.0291          837.8       837.8
     0 mosquittoo                4      0.0004    0.0004    0.0005           17.5        17.5
     0 postgres                  4      0.0004    0.0007    0.0007           77.4        77.4
     0 rustfs_container          4      0.0012    0.0013    0.0013          196.6       198.2
     0 _TOTAL_(containers)       4      0.3205    0.7907    0.9080         4861.4      5540.5

     1 pulsar                   13      0.7248    2.1220    2.1400         3132.0      3919.2
     1 jobmanager               13      0.0824    0.2180    0.2270          695.8       724.6
     1 taskmanager              13      0.1763    0.3632    0.3710         1172.6      1234.8
     1 mosquittoo               13      0.0006    0.0007    0.0007           17.9        18.2
     1 postgres                 13      0.0010    0.0018    0.0018           83.7        85.5
     1 rustfs_container         13      0.0009    0.0011    0.0011          200.0       202.4
     1 _TOTAL_(containers)      13      0.9863    2.6500    2.6800         5305.9      6174.0

     2 pulsar                   13      0.7237    2.1600    2.1600         3107.2      3360.8
     2 jobmanager               13      0.0682    0.1532    0.1580         1004.4      1019.2
     2 taskmanager              13      0.1932    0.3398    0.3410         1380.2      1395.9
