"Time","Total CPU"
2026-05-14 13:00:00,0.0898
2026-05-14 13:00:15,0.0857
2026-05-14 13:00:30,1.24
2026-05-14 13:00:45,1.68
2026-05-14 13:01:00,1.70
2026-05-14 13:01:15,1.75
2026-05-14 13:01:30,0.426
2026-05-14 13:01:45,0.221
2026-05-14 13:02:00,0.238
2026-05-14 13:02:15,0.225
2026-05-14 13:02:30,0.216
2026-05-14 13:02:45,0.186
2026-05-14 13:03:00,0.195
2026-05-14 13:03:15,0.218
2026-05-14 13:03:30,0.248
2026-05-14 13:03:45,0.266
2026-05-14 13:04:00,0.290
2026-05-14 13:04:15,0.270
2026-05-14 13:04:30,0.244
2026-05-14 13:04:45,0.223
2026-05-14 13:05:00,0.206
2026-05-14 13:05:15,0.213
2026-05-14 13:05:30,0.230
2026-05-14 13:05:45,0.224
2026-05-14 13:06:00,0.233
2026-05-14 13:06:15,0.216
2026-05-14 13:06:30,0.218
2026-05-14 13:06:45,0.212
2026-05-14 13:07:00,0.206
2026-05-14 13:07:15,0.195
2026-05-14 13:07:30,0.175
2026-05-14 13:07:45,0.167
2026-05-14 13:08:00,0.181
2026-05-14 13:08:15,0.197
2026-05-14 13:08:30,0.210
2026-05-14 13:08:45,0.208
2026-05-14 13:09:00,0.216
2026-05-14 13:09:15,0.211
2026-05-14 13:09:30,0.208
2026-05-14 13:09:45,0.200
2026-05-14 13:10:00,0.205
2026-05-14 13:10:15,0.204
2026-05-14 13:10:30,0.205
2026-05-14 13:10:45,0.203
2026-05-14 13:11:00,0.204
2026-05-14 13:11:15,0.178
2026-05-14 13:11:30,0.155
2026-05-14 13:11:45,0.130
2026-05-14 13:12:00,0.145
2026-05-14 13:12:15,0.169
2026-05-14 13:12:30,0.185
2026-05-14 13:12:45,0.195
2026-05-14 13:13:00,0.197
2026-05-14 13:13:15,0.182
2026-05-14 13:13:30,0.199
2026-05-14 13:13:45,0.192
2026-05-14 13:14:00,0.195
2026-05-14 13:14:15,0.179
2026-05-14 13:14:30,0.173
2026-05-14 13:14:45,0.171
2026-05-14 13:15:00,0.172
2026-05-14 13:15:15,0.171
2026-05-14 13:15:30,0.172
2026-05-14 13:15:45,0.172
2026-05-14 13:16:00,0.143
2026-05-14 13:16:15,0.145
2026-05-14 13:16:30,0.140
2026-05-14 13:16:45,0.159
2026-05-14 13:17:00,0.183
2026-05-14 13:17:15,0.188
2026-05-14 13:17:30,0.185
2026-05-14 13:17:45,0.177
2026-05-14 13:18:00,0.172
2026-05-14 13:18:15,0.160
2026-05-14 13:18:30,0.164
2026-05-14 13:18:45,0.162
2026-05-14 13:19:00,0.161
2026-05-14 13:19:15,0.213
2026-05-14 13:19:30,0.206
2026-05-14 13:19:45,0.202
2026-05-14 13:20:00,0.187
2026-05-14 13:20:15,0.120
2026-05-14 13:20:30,0.109
2026-05-14 13:20:45,0.104
2026-05-14 13:21:00,0.107
2026-05-14 13:21:15,0.956
2026-05-14 13:21:30,1.60
2026-05-14 13:21:45,1.61
2026-05-14 13:22:00,1.60
2026-05-14 13:22:15,0.423
2026-05-14 13:22:30,0.181
2026-05-14 13:22:45,0.198
2026-05-14 13:23:00,0.203
2026-05-14 13:23:15,0.196
2026-05-14 13:23:30,0.209
2026-05-14 13:23:45,0.193
2026-05-14 13:24:00,0.194
2026-05-14 13:24:15,0.188
2026-05-14 13:24:30,0.186
2026-05-14 13:24:45,0.194
2026-05-14 13:25:00,0.192
2026-05-14 13:25:15,0.192
2026-05-14 13:25:30,0.189
2026-05-14 13:25:45,0.193
2026-05-14 13:26:00,0.190
2026-05-14 13:26:15,0.184
2026-05-14 13:26:30,0.172
2026-05-14 13:26:45,0.172
2026-05-14 13:27:00,0.173
2026-05-14 13:27:15,0.185
2026-05-14 13:27:30,0.193
2026-05-14 13:27:45,0.194
2026-05-14 13:28:00,0.194
2026-05-14 13:28:15,0.195
