run_id,architecture,log_file,block,position_in_window,sensor_id,sensor_energy_value,sensor_timestamp,message_delay_ms,analytic_window_wait_ms,processing_overhead_ms
B1-flink-1,flink,architecture1_1st_run_logs.log,0,0,1,699.6,2025-12-08 00:00:00,66911.0,59000,7911.0
B1-flink-1,flink,architecture1_1st_run_logs.log,0,1,1,710.8,2025-12-08 00:00:01,65909.0,58000,7909.0
B1-flink-1,flink,architecture1_1st_run_logs.log,0,2,1,695.3,2025-12-08 00:00:02,64906.0,57000,7906.0
B1-flink-1,flink,architecture1_1st_run_logs.log,0,3,1,695.3,2025-12-08 00:00:03,63903.0,56000,7903.0
B1-flink-1,flink,architecture1_1st_run_logs.log,0,4,1,693.7,2025-12-08 00:00:04,62900.0,55000,7900.0
B1-flink-1,flink,architecture1_1st_run_logs.log,0,5,1,695.2,2025-12-08 00:00:05,61897.0,54000,7897.0
B1-flink-1,flink,architecture1_1st_run_logs.log,0,6,1,694.9,2025-12-08 00:00:06,60894.0,53000,7894.0
B1-flink-1,flink,architecture1_1st_run_logs.log,0,7,1,694.4,2025-12-08 00:00:07,59891.0,52000,7891.0
B1-flink-1,flink,architecture1_1st_run_logs.log,0,8,1,693.6,2025-12-08 00:00:08,58888.0,51000,7888.0
B1-flink-1,flink,architecture1_1st_run_logs.log,0,9,1,700.2,2025-12-08 00:00:09,57885.0,50000,7885.0
B1-flink-1,flink,architecture1_1st_run_logs.log,0,10,1,702.3,2025-12-08 00:00:10,56882.0,49000,7882.0
B1-flink-1,flink,architecture1_1st_run_logs.log,0,11,1,694.8,2025-12-08 00:00:11,55879.0,48000,7879.0
B1-flink-1,flink,architecture1_1st_run_logs.log,0,12,1,694.7,2025-12-08 00:00:12,54876.0,47000,7876.0
B1-flink-1,flink,architecture1_1st_run_logs.log,0,13,1,693.1,2025-12-08 00:00:13,53873.0,46000,7873.0
B1-flink-1,flink,architecture1_1st_run_logs.log,0,14,1,695.3,2025-12-08 00:00:14,52871.0,45000,7871.0
B1-flink-1,flink,architecture1_1st_run_logs.log,0,15,1,693.7,2025-12-08 00:00:15,51868.0,44000,7868.0
B1-flink-1,flink,architecture1_1st_run_logs.log,0,16,1,694.5,2025-12-08 00:00:16,50866.0,43000,7866.0
B1-flink-1,flink,architecture1_1st_run_logs.log,0,17,1,694.6,2025-12-08 00:00:17,49863.0,42000,7863.0
B1-flink-1,flink,architecture1_1st_run_logs.log,0,18,1,696.1,2025-12-08 00:00:18,48860.0,41000,7860.0
B1-flink-1,flink,architecture1_1st_run_logs.log,0,19,1,708.9,2025-12-08 00:00:19,47857.0,40000,7857.0
B1-flink-1,flink,architecture1_1st_run_logs.log,0,20,1,697.9,2025-12-08 00:00:20,46855.0,39000,7855.0
B1-flink-1,flink,architecture1_1st_run_logs.log,0,21,1,701.4,2025-12-08 00:00:21,45853.0,38000,7853.0
B1-flink-1,flink,architecture1_1st_run_logs.log,0,22,1,695.0,2025-12-08 00:00:22,44851.0,37000,7851.0
B1-flink-1,flink,architecture1_1st_run_logs.log,0,23,1,695.6,2025-12-08 00:00:23,43848.0,36000,7848.0
B1-flink-1,flink,architecture1_1st_run_logs.log,0,24,1,695.7,2025-12-08 00:00:24,42845.0,35000,7845.0
B1-flink-1,flink,architecture1_1st_run_logs.log,0,25,1,690.8,2025-12-08 00:00:25,41843.0,34000,7843.0
B1-flink-1,flink,architecture1_1st_run_logs.log,0,26,1,693.2,2025-12-08 00:00:26,40840.0,33000,7840.0
B1-flink-1,flink,architecture1_1st_run_logs.log,0,27,1,713.7,2025-12-08 00:00:27,39837.0,32000,7837.0
B1-flink-1,flink,architecture1_1st_run_logs.log,0,28,1,695.1,2025-12-08 00:00:28,38834.0,31000,7834.0
B1-flink-1,flink,architecture1_1st_run_logs.log,0,29,1,694.1,2025-12-08 00:00:29,37832.0,30000,7832.0
B1-flink-1,flink,architecture1_1st_run_logs.log,0,30,1,691.4,2025-12-08 00:00:30,36829.0,29000,7829.0
B1-flink-1,flink,architecture1_1st_run_logs.log,0,31,1,690.4,2025-12-08 00:00:31,35826.0,28000,7826.0
B1-flink-1,flink,architecture1_1st_run_logs.log,0,32,1,695.3,2025-12-08 00:00:32,34823.0,27000,7823.0
B1-flink-1,flink,architecture1_1st_run_logs.log,0,33,1,827.1,2025-12-08 00:00:33,33821.0,26000,7821.0
B1-flink-1,flink,architecture1_1st_run_logs.log,0,34,1,797.3,2025-12-08 00:00:34,32818.0,25000,7818.0
