run_id,architecture,container,window_start_utc,window_end_utc,cpu_mean_cores,cpu_p95_cores,cpu_max_cores,mem_mean_bytes,mem_max_bytes,n_samples_cpu,n_samples_mem
B1-flink-1,flink,pulsar,2026-05-14T11:00:00Z,2026-05-14T11:15:00Z,0.171101,0.152113,2.833531,2471290107,2540978176,61,61
B1-flink-1,flink,jobmanager,2026-05-14T11:00:00Z,2026-05-14T11:15:00Z,0.03124,0.046047,0.260922,617222949,666443776,61,61
B1-flink-1,flink,taskmanager,2026-05-14T11:00:00Z,2026-05-14T11:15:00Z,0.093608,0.106767,0.448887,741813466,787406848,61,61
B1-flink-1,flink,mosquittoo,2026-05-14T11:00:00Z,2026-05-14T11:15:00Z,0.000659,0.000796,0.000835,2873444,3461120,61,61
B1-flink-1,flink,postgres,2026-05-14T11:00:00Z,2026-05-14T11:15:00Z,0.00093,0.001657,0.00173,22585276,24465408,61,61
B1-flink-1,flink,rustfs_container,2026-05-14T11:00:00Z,2026-05-14T11:15:00Z,0.000836,0.00163,0.001805,94334908,100601856,61,61
B1-flink-2,flink,pulsar,2026-05-14T11:21:00Z,2026-05-14T11:36:00Z,0.154159,0.098984,2.794027,2487903349,3145490432,61,61
B1-flink-2,flink,jobmanager,2026-05-14T11:21:00Z,2026-05-14T11:36:00Z,0.026714,0.035382,0.201908,770404956,803975168,61,61
B1-flink-2,flink,taskmanager,2026-05-14T11:21:00Z,2026-05-14T11:36:00Z,0.087005,0.096747,0.40051,976345524,1008308224,61,61
B1-flink-2,flink,mosquittoo,2026-05-14T11:21:00Z,2026-05-14T11:36:00Z,0.000671,0.000781,0.000817,2928035,3477504,61,61
B1-flink-2,flink,postgres,2026-05-14T11:21:00Z,2026-05-14T11:36:00Z,0.000956,0.002066,0.002395,23801453,25370624,61,61
B1-flink-2,flink,rustfs_container,2026-05-14T11:21:00Z,2026-05-14T11:36:00Z,0.000931,0.0019,0.00509,101221493,103936000,61,61
B1-flink-3,flink,pulsar,2026-05-14T11:37:00Z,2026-05-14T11:52:00Z,0.153217,0.096303,2.751826,2491742375,3189813248,61,61
B1-flink-3,flink,jobmanager,2026-05-14T11:37:00Z,2026-05-14T11:52:00Z,0.025318,0.036413,0.114449,899152778,958885888,61,61
B1-flink-3,flink,taskmanager,2026-05-14T11:37:00Z,2026-05-14T11:52:00Z,0.080266,0.096832,0.349988,1163338735,1188614144,61,61
B1-flink-3,flink,mosquittoo,2026-05-14T11:37:00Z,2026-05-14T11:52:00Z,0.00064,0.000765,0.000831,2873579,3477504,61,61
B1-flink-3,flink,postgres,2026-05-14T11:37:00Z,2026-05-14T11:52:00Z,0.000877,0.002439,0.003609,25811649,27709440,61,61
B1-flink-3,flink,rustfs_container,2026-05-14T11:37:00Z,2026-05-14T11:52:00Z,0.05434,0.227742,0.233061,115803723,130666496,61,61
B1-flink-4,flink,pulsar,2026-05-14T11:54:00Z,2026-05-14T12:09:00Z,0.149738,0.092935,2.93538,2482767032,2486333440,61,61
B1-flink-4,flink,jobmanager,2026-05-14T11:54:00Z,2026-05-14T12:09:00Z,0.021706,0.026454,0.10391,1025100346,1047736320,61,61
B1-flink-4,flink,taskmanager,2026-05-14T11:54:00Z,2026-05-14T12:09:00Z,0.083879,0.096026,0.353811,1311327215,1477144576,61,61
B1-flink-4,flink,mosquittoo,2026-05-14T11:54:00Z,2026-05-14T12:09:00Z,0.000667,0.000802,0.000858,2920045,3739648,61,61
B1-flink-4,flink,postgres,2026-05-14T11:54:00Z,2026-05-14T12:09:00Z,0.000954,0.002295,0.002713,26279197,28049408,61,61
B1-flink-4,flink,rustfs_container,2026-05-14T11:54:00Z,2026-05-14T12:09:00Z,0.001199,0.002672,0.010738,145366502,147251200,61,61
