run_id,architecture,container,window_start_utc,window_end_utc,cpu_mean_cores,cpu_p95_cores,cpu_max_cores,mem_mean_bytes,mem_max_bytes,n_samples_cpu,n_samples_mem
B1-direct-1,direct,pulsar,2026-05-14T15:10:00Z,2026-05-14T15:24:00Z,0.077289,0.078528,1.324077,2473755630,2640084992,57,57
B1-direct-1,direct,jobmanager,2026-05-14T15:10:00Z,2026-05-14T15:24:00Z,,,,,,0,0
B1-direct-1,direct,taskmanager,2026-05-14T15:10:00Z,2026-05-14T15:24:00Z,,,,,,0,0
B1-direct-1,direct,mosquittoo,2026-05-14T15:10:00Z,2026-05-14T15:24:00Z,0.000572,0.000652,0.00071,2908591,3465216,57,57
B1-direct-1,direct,postgres,2026-05-14T15:10:00Z,2026-05-14T15:24:00Z,0.000702,0.001033,0.001725,22850937,24788992,57,57
B1-direct-1,direct,rustfs_container,2026-05-14T15:10:00Z,2026-05-14T15:24:00Z,0.000528,0.001427,0.001823,109245709,113119232,57,57
B1-direct-2,direct,pulsar,2026-05-14T15:25:00Z,2026-05-14T15:40:00Z,0.087177,0.054624,1.354123,2477865597,2483552256,61,61
B1-direct-2,direct,jobmanager,2026-05-14T15:25:00Z,2026-05-14T15:40:00Z,,,,,,0,0
B1-direct-2,direct,taskmanager,2026-05-14T15:25:00Z,2026-05-14T15:40:00Z,,,,,,0,0
B1-direct-2,direct,mosquittoo,2026-05-14T15:25:00Z,2026-05-14T15:40:00Z,0.000558,0.000642,0.000675,2890164,3461120,61,61
B1-direct-2,direct,postgres,2026-05-14T15:25:00Z,2026-05-14T15:40:00Z,0.000685,0.00143,0.001653,23808100,25591808,61,61
B1-direct-2,direct,rustfs_container,2026-05-14T15:25:00Z,2026-05-14T15:40:00Z,0.000534,0.001396,0.002321,113144143,115806208,61,61
B1-direct-3,direct,pulsar,2026-05-14T15:40:00Z,2026-05-14T15:55:00Z,0.065316,0.053103,1.305566,2483338793,2646896640,61,61
B1-direct-3,direct,jobmanager,2026-05-14T15:40:00Z,2026-05-14T15:55:00Z,,,,,,0,0
B1-direct-3,direct,taskmanager,2026-05-14T15:40:00Z,2026-05-14T15:55:00Z,,,,,,0,0
B1-direct-3,direct,mosquittoo,2026-05-14T15:40:00Z,2026-05-14T15:55:00Z,0.000527,0.000619,0.000681,2844369,3215360,61,61
B1-direct-3,direct,postgres,2026-05-14T15:40:00Z,2026-05-14T15:55:00Z,0.000708,0.00155,0.002087,25025015,26656768,61,61
B1-direct-3,direct,rustfs_container,2026-05-14T15:40:00Z,2026-05-14T15:55:00Z,0.000629,0.001509,0.005044,117734349,122277888,61,61
B1-direct-4,direct,pulsar,2026-05-14T15:55:00Z,2026-05-14T16:10:00Z,0.085199,0.053308,1.346418,2481350420,2482634752,61,61
B1-direct-4,direct,jobmanager,2026-05-14T15:55:00Z,2026-05-14T16:10:00Z,,,,,,0,0
B1-direct-4,direct,taskmanager,2026-05-14T15:55:00Z,2026-05-14T16:10:00Z,,,,,,0,0
B1-direct-4,direct,mosquittoo,2026-05-14T15:55:00Z,2026-05-14T16:10:00Z,0.000557,0.000627,0.000656,2865857,3710976,61,61
B1-direct-4,direct,postgres,2026-05-14T15:55:00Z,2026-05-14T16:10:00Z,0.000563,0.001485,0.002363,26885606,28680192,61,61
B1-direct-4,direct,rustfs_container,2026-05-14T15:55:00Z,2026-05-14T16:10:00Z,0.000447,0.00098,0.006233,122145137,125480960,61,61
